[1 - 7f76ec084000]    0.112893 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7f76ec084000]    0.112901 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.112909 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.112920 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7f76ec084000]    0.112928 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113123 {2}{mapper}:   1e00000000000009 (GPU_DYNAMIC_MEM)
[0 - 7f79b00db000]    0.113130 {2}{mapper}:   1e0000000000000a (GPU_DYNAMIC_MEM)
[0 - 7f79b00db000]    0.113138 {2}{mapper}:   1e0000000000000b (GPU_DYNAMIC_MEM)
[0 - 7f79b00db000]    0.113145 {2}{mapper}:   1e0000000000000c (Z_COPY_MEM)
[0 - 7f79b00db000]    0.113152 {2}{mapper}:   1e0000000000000d (HDF_MEM)
[0 - 7f79b00db000]    0.113160 {2}{mapper}:   1e0000000000000e (FILE_MEM)
[1 - 7f76ec084000]    0.112935 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7f76ec084000]    0.112943 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7f76ec084000]    0.112951 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7f76ec084000]    0.112958 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
[1 - 7f76ec084000]    0.112965 {2}{mapper}:   1e0001000000000c (Z_COPY_MEM)
[1 - 7f76ec084000]    0.112973 {2}{mapper}:   1e0001000000000d (HDF_MEM)
[1 - 7f76ec084000]    0.112980 {2}{mapper}:   1e0001000000000e (FILE_MEM)
[1 - 7f76ec084000]    0.112988 {2}{mapper}: Processors on rank 1:
[1 - 7f76ec084000]    0.112997 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[0 - 7f79b00db000]    0.113167 {2}{mapper}: Processors on rank 0:
[0 - 7f79b00db000]    0.113175 {2}{mapper}:   1d00000000000000 (UTIL_PROC) can see 1e00000000000000(bw=100) 1e00000000000001(bw=100) 1e0000000000000c(bw=40) 1e0000000000000d(bw=5) 1e0000000000000e(bw=5)
[0 - 7f79b00db000]    0.113184 {2}{mapper}:   1d00000000000001 (LOC_PROC) can see 1e00000000000000(bw=100) 1e00000000000001(bw=100) 1e0000000000000c(bw=40) 1e0000000000000d(bw=5) 1e0000000000000e(bw=5)
[0 - 7f79b00db000]    0.113192 {2}{mapper}:   1d00000000000002 (OMP_PROC) can see 1e00000000000000(bw=100) 1e00000000000001(bw=100) 1e00000000000002(bw=140) 1e00000000000003(bw=129) 1e0000000000000c(bw=40)
[0 - 7f79b00db000]    0.113200 {2}{mapper}:   1d00000000000003 (TOC_PROC) can see 1e00000000000004(bw=200) 1e00000000000005(bw=10) 1e00000000000006(bw=10) 1e00000000000007(bw=10) 1e00000000000008(bw=200) 1e00000000000009(bw=10) 1e0000000000000a(bw=10) 1e0000000000000b(bw=10) 1e0000000000000c(bw=20)
[0 - 7f79b00db000]    0.113210 {2}{mapper}:   1d00000000000004 (TOC_PROC) can see 1e00000000000004(bw=10) 1e00000000000005(bw=200) 1e00000000000006(bw=10) 1e00000000000007(bw=10) 1e00000000000008(bw=10) 1e00000000000009(bw=200) 1e0000000000000a(bw=10) 1e0000000000000b(bw=10) 1e0000000000000c(bw=20)
[0 - 7f79b00db000]    0.113220 {2}{mapper}:   1d00000000000005 (TOC_PROC) can see 1e00000000000004(bw=10) 1e00000000000005(bw=10) 1e00000000000006(bw=200) 1e00000000000007(bw=10) 1e00000000000008(bw=10) 1e00000000000009(bw=10) 1e0000000000000a(bw=200) 1e0000000000000b(bw=10) 1e0000000000000c(bw=20)
[0 - 7f79b00db000]    0.113229 {2}{mapper}:   1d00000000000006 (TOC_PROC) can see 1e00000000000004(bw=10) 1e00000000000005(bw=10) 1e00000000000006(bw=10) 1e00000000000007(bw=200) 1e00000000000008(bw=10) 1e00000000000009(bw=10) 1e0000000000000a(bw=10) 1e0000000000000b(bw=200) 1e0000000000000c(bw=20)
[1 - 7f76ec084000]    0.113005 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f76ec084000]    0.113015 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
[1 - 7f76ec084000]    0.113024 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f76ec084000]    0.113034 {2}{mapper}:   1d00010000000004 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=200) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=200) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f76ec084000]    0.113043 {2}{mapper}:   1d00010000000005 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=200) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=200) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f76ec084000]    0.113052 {2}{mapper}:   1d00010000000006 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=200) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=200) 1e0001000000000c(bw=20)
[0 - 7f79b00db000]    0.113383 {2}{mapper}: Memories on rank 0:
[0 - 7f79b00db000]    0.113394 {2}{mapper}:   1a00000000000000 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113402 {2}{mapper}:   1a00000000000001 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113409 {2}{mapper}:   1a00000000000002 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113417 {2}{mapper}:   1a00000000000003 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113425 {2}{mapper}:   1e00000000000000 (SYSTEM_MEM)
[0 - 7f79b00db000]    0.113433 {2}{mapper}:   1e00000000000001 (SYSTEM_MEM)
[0 - 7f79b00db000]    0.113441 {2}{mapper}:   1e00000000000002 (SOCKET_MEM)
[0 - 7f79b00db000]    0.113449 {2}{mapper}:   1e00000000000003 (SOCKET_MEM)
[0 - 7f79b00db000]    0.113456 {2}{mapper}:   1e00000000000004 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113463 {2}{mapper}:   1e00000000000005 (GPU_FB_MEM)
[0 - 7f79b00db000]    0.113471 {2}{mapper}:   1e00000000000006 (GPU_FB_MEM)
