[1 - 7fa9b805a000]    0.114494 {2}{mapper}: Processors on rank 1:
[1 - 7fa9b805a000]    0.114500 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7fa9b805a000]    0.114505 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7fa9b805a000]    0.114511 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
[1 - 7fa9b805a000]    0.114517 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.114523 {2}{mapper}:   1d00010000000004 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=200) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=200) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.114528 {2}{mapper}:   1d00010000000005 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=200) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=200) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.114534 {2}{mapper}:   1d00010000000006 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=200) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=200) 1e0001000000000c(bw=20)
[1 - 7fa9b805a000]    0.114998 {2}{mapper}: Memories on rank 1:
[1 - 7fa9b805a000]    0.115011 {2}{mapper}:   1a00010000000000 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.115016 {2}{mapper}:   1a00010000000001 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.115022 {2}{mapper}:   1a00010000000002 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.115027 {2}{mapper}:   1a00010000000003 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.115032 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7fa9b805a000]    0.115037 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
[1 - 7fa9b805a000]    0.115042 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7fa9b805a000]    0.115048 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7fa9b805a000]    0.115053 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.115059 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.115064 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.115069 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[1 - 7fa9b805a000]    0.115075 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.115080 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.115085 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.115091 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
[1 - 7fa9b805a000]    0.115096 {2}{mapper}:   1e0001000000000c (Z_COPY_MEM)
[1 - 7fa9b805a000]    0.115101 {2}{mapper}:   1e0001000000000d (HDF_MEM)
[1 - 7fa9b805a000]    0.115113 {2}{mapper}:   1e0001000000000e (FILE_MEM)
[1 - 7fa9b805a000]    0.115119 {2}{mapper}: Processors on rank 1:
[1 - 7fa9b805a000]    0.115124 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7fa9b805a000]    0.115144 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
