[1 - 7f6d843e6000]    0.124818 {2}{mapper}: Processors on rank 1:
[1 - 7f6d843e6000]    0.124824 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f6d843e6000]    0.124830 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f6d843e6000]    0.124836 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
[1 - 7f6d843e6000]    0.124842 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f6d843e6000]    0.124848 {2}{mapper}:   1d00010000000004 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=200) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=200) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f6d843e6000]    0.124854 {2}{mapper}:   1d00010000000005 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=200) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=200) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f6d843e6000]    0.124860 {2}{mapper}:   1d00010000000006 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=200) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=200) 1e0001000000000c(bw=20)
[1 - 7f6d843e6000]    0.125022 {2}{mapper}: Memories on rank 1:
[1 - 7f6d843e6000]    0.125033 {2}{mapper}:   1a00010000000000 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125038 {2}{mapper}:   1a00010000000001 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125044 {2}{mapper}:   1a00010000000002 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125049 {2}{mapper}:   1a00010000000003 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125055 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7f6d843e6000]    0.125061 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
[1 - 7f6d843e6000]    0.125066 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7f6d843e6000]    0.125072 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7f6d843e6000]    0.125078 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125083 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125089 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125095 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125100 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.125106 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.125112 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.125117 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.125123 {2}{mapper}:   1e0001000000000c (Z_COPY_MEM)
[1 - 7f6d843e6000]    0.125129 {2}{mapper}:   1e0001000000000d (HDF_MEM)
[1 - 7f6d843e6000]    0.125140 {2}{mapper}:   1e0001000000000e (FILE_MEM)
[1 - 7f6d843e6000]    0.125145 {2}{mapper}: Processors on rank 1:
[1 - 7f6d843e6000]    0.125151 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f6d843e6000]    0.125157 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f6d843e6000]    0.125163 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
[1 - 7f6d843e6000]    0.125169 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f6d843e6000]    0.125175 {2}{mapper}:   1d00010000000004 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=200) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=200) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f6d843e6000]    0.125180 {2}{mapper}:   1d00010000000005 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=200) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=200) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f6d843e6000]    0.125186 {2}{mapper}:   1d00010000000006 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=200) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=200) 1e0001000000000c(bw=20)
[1 - 7f6d843e6000]    0.125330 {2}{mapper}: Memories on rank 1:
[1 - 7f6d843e6000]    0.125340 {2}{mapper}:   1a00010000000000 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125345 {2}{mapper}:   1a00010000000001 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125351 {2}{mapper}:   1a00010000000002 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125356 {2}{mapper}:   1a00010000000003 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125362 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7f6d843e6000]    0.125367 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
[1 - 7f6d843e6000]    0.125373 {2}{mapper}:   1e00010000000002 (SOCKET_MEM)
[1 - 7f6d843e6000]    0.125379 {2}{mapper}:   1e00010000000003 (SOCKET_MEM)
[1 - 7f6d843e6000]    0.125384 {2}{mapper}:   1e00010000000004 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125390 {2}{mapper}:   1e00010000000005 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125396 {2}{mapper}:   1e00010000000006 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125402 {2}{mapper}:   1e00010000000007 (GPU_FB_MEM)
[1 - 7f6d843e6000]    0.125407 {2}{mapper}:   1e00010000000008 (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.125413 {2}{mapper}:   1e00010000000009 (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.125419 {2}{mapper}:   1e0001000000000a (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.125424 {2}{mapper}:   1e0001000000000b (GPU_DYNAMIC_MEM)
[1 - 7f6d843e6000]    0.125430 {2}{mapper}:   1e0001000000000c (Z_COPY_MEM)
[1 - 7f6d843e6000]    0.125436 {2}{mapper}:   1e0001000000000d (HDF_MEM)
[1 - 7f6d843e6000]    0.125441 {2}{mapper}:   1e0001000000000e (FILE_MEM)
[1 - 7f6d843e6000]    0.125447 {2}{mapper}: Processors on rank 1:
[1 - 7f6d843e6000]    0.125453 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f6d843e6000]    0.125458 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
