[1 - 7f4a6408b000]    0.166008 {2}{mapper}: Processors on rank 1:
[1 - 7f4a6408b000]    0.166014 {2}{mapper}:   1d00010000000000 (UTIL_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f4a6408b000]    0.166020 {2}{mapper}:   1d00010000000001 (LOC_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e0001000000000c(bw=40) 1e0001000000000d(bw=5) 1e0001000000000e(bw=5)
[1 - 7f4a6408b000]    0.166026 {2}{mapper}:   1d00010000000002 (OMP_PROC) can see 1e00010000000000(bw=100) 1e00010000000001(bw=100) 1e00010000000002(bw=140) 1e00010000000003(bw=129) 1e0001000000000c(bw=40)
[1 - 7f4a6408b000]    0.166033 {2}{mapper}:   1d00010000000003 (TOC_PROC) can see 1e00010000000004(bw=200) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=200) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.166039 {2}{mapper}:   1d00010000000004 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=200) 1e00010000000006(bw=10) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=200) 1e0001000000000a(bw=10) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.166045 {2}{mapper}:   1d00010000000005 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=200) 1e00010000000007(bw=10) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=200) 1e0001000000000b(bw=10) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.166050 {2}{mapper}:   1d00010000000006 (TOC_PROC) can see 1e00010000000004(bw=10) 1e00010000000005(bw=10) 1e00010000000006(bw=10) 1e00010000000007(bw=200) 1e00010000000008(bw=10) 1e00010000000009(bw=10) 1e0001000000000a(bw=10) 1e0001000000000b(bw=200) 1e0001000000000c(bw=20)
[1 - 7f4a6408b000]    0.166205 {2}{mapper}: Memories on rank 1:
[1 - 7f4a6408b000]    0.166214 {2}{mapper}:   1a00010000000000 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166220 {2}{mapper}:   1a00010000000001 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166225 {2}{mapper}:   1a00010000000002 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166231 {2}{mapper}:   1a00010000000003 (GPU_FB_MEM)
[1 - 7f4a6408b000]    0.166236 {2}{mapper}:   1e00010000000000 (SYSTEM_MEM)
[1 - 7f4a6408b000]    0.166242 {2}{mapper}:   1e00010000000001 (SYSTEM_MEM)
